code,name,database_flag
BK0732,贵金属,90
BK0485,旅游酒店,90
BK0475,银行,90
BK0437,煤炭行业,90
BK0420,航空机场,90
BK1036,半导体,90
BK1040,中药,90
BK0737,软件开发,90
BK0464,石油行业,90
BK0477,酿酒行业,90
BK1044,生物制品,90
BK1032,风电设备,90
BK0458,仪器仪表,90
BK1042,医药商业,90
BK0474,保险,90
BK0473,证券,90
BK0421,铁路公路,90
BK0733,包装材料,90
BK0447,互联网服务,90
BK0450,航运港口,90
BK0735,计算机设备,90
BK0734,珠宝首饰,90
BK0465,化学制药,90
BK0480,航天航空,90
BK0486,文化传媒,90
BK0727,医疗服务,90
BK0429,交运设备,90
BK0448,通信设备,90
BK0482,商业百货,90
BK0456,家电行业,90
BK1039,电子化学品,90
BK1034,电源设备,90
BK0471,化纤行业,90
BK0729,船舶制造,90
BK0740,教育,90
BK1041,医疗器械,90
BK0910,专用设备,90
BK0739,工程机械,90
BK0470,造纸印刷,90
BK0545,通用设备,90
BK0484,贸易行业,90
BK0728,环保行业,90
BK0424,水泥建材,90
BK0730,农药兽药,90
BK0476,装修建材,90
BK0738,多元金融,90
BK0425,工程建设,90
BK1031,光伏设备,90
BK0736,通信服务,90
BK0725,装修装饰,90
BK0422,物流行业,90
BK1043,专业服务,90
BK0427,公用事业,90
BK0451,房地产开发,90
BK1045,房地产服务,90
BK0438,食品饮料,90
BK0459,电子元件,90
BK0428,电力行业,90
BK1038,光学光电子,90
BK1017,采掘行业,90
BK1028,燃气,90
BK1020,非金属材料,90
BK0436,纺织服装,90
BK0726,工程咨询服务,90
BK0440,家用轻工,90
BK1018,橡胶制品,90
BK0539,综合行业,90
BK0457,电网设备,90
BK0454,塑料制品,90
BK0478,有色金属,90
BK0481,汽车零部件,90
BK1035,美容护理,90
BK1037,消费电子,90
BK0538,化学制品,90
BK1027,小金属,90
BK1016,汽车服务,90
BK0479,钢铁行业,90
BK1029,汽车整车,90
BK1019,化学原料,90
BK1046,游戏,90
BK1015,能源金属,90
BK0433,农牧饲渔,90
BK0731,化肥行业,90
BK1033,电池,90
BK0546,玻璃玻纤,90
BK1030,电机,90
