code,name,indus
600988,赤峰黄金,BK0732
002155,湖南黄金,BK0732
000975,银泰黄金,BK0732
601069,西部黄金,BK0732
600547,山东黄金,BK0732
600489,中金黄金,BK0732
002237,恒邦股份,BK0732
601899,紫金矿业,BK0732
002716,金贵银业,BK0732
000506,中润资源,BK0732
600311,*ST荣华,BK0732
601007,金陵饭店,BK0485
603199,九华旅游,BK0485
300756,金马游乐,BK0485
605108,同庆楼,BK0485
000524,岭南控股,BK0485
603099,长白山,BK0485
000428,华天酒店,BK0485
002033,丽江股份,BK0485
900942,黄山Ｂ股,BK0485
600054,黄山旅游,BK0485
002186,全 聚 德,BK0485
600138,中青旅,BK0485
300144,宋城演艺,BK0485
000888,峨眉山Ａ,BK0485
600749,西藏旅游,BK0485
601888,中国中免,BK0485
002707,众信旅游,BK0485
600593,大连圣亚,BK0485
000610,西安旅游,BK0485
300859,西域旅游,BK0485
002059,云南旅游,BK0485
600258,首旅酒店,BK0485
002159,三特索道,BK0485
000978,桂林旅游,BK0485
301073,君亭酒店,BK0485
000721,西安饮食,BK0485
000430,张家界,BK0485
900934,锦江Ｂ股,BK0485
600754,锦江酒店,BK0485
600706,曲江文旅,BK0485
000796,ST凯撒,BK0485
900929,锦旅Ｂ股,BK0485
603136,天目湖,BK0485
002306,中科云网,BK0485
002142,宁波银行,BK0475
601009,南京银行,BK0475
601128,常熟银行,BK0475
601988,中国银行,BK0475
002966,苏州银行,BK0475
601328,交通银行,BK0475
601838,成都银行,BK0475
601939,建设银行,BK0475
601658,邮储银行,BK0475
601398,工商银行,BK0475
601288,农业银行,BK0475
600926,杭州银行,BK0475
600919,江苏银行,BK0475
601998,中信银行,BK0475
601077,渝农商行,BK0475
600000,浦发银行,BK0475
601818,光大银行,BK0475
601169,北京银行,BK0475
601665,齐鲁银行,BK0475
600016,民生银行,BK0475
601825,沪农商行,BK0475
600015,华夏银行,BK0475
601229,上海银行,BK0475
601166,兴业银行,BK0475
601963,重庆银行,BK0475
002936,郑州银行,BK0475
601577,长沙银行,BK0475
601916,浙商银行,BK0475
601997,贵阳银行,BK0475
002958,青农商行,BK0475
600908,无锡银行,BK0475
601187,厦门银行,BK0475
600928,西安银行,BK0475
000001,平安银行,BK0475
002948,青岛银行,BK0475
